"","npar","Sum Sq","Mean Sq","F value","p_value","psig"
"Metadata_Stiffness",1,118.049357636659,118.049357636659,1.60783725560896,0.294263151474087,""
"Metadata_Treatment",2,49296.8445326284,24648.4222663142,335.71255621517,0.000354716782169806,"***"
"CollagenI",4,880.230137432521,220.05753435813,2.99719294710146,0.0175709016499555,"*"
"CollagenIV",4,429.967608611135,107.491902152784,1.46404426434464,0.210417841228578,""
"Hyaluronic_Acid",4,579.678833416244,144.919708354061,1.97381257152463,0.095760541593533,""
"TenascinC",4,306.094093002391,76.5235232505977,1.04225363081994,0.383792945963462,""
"Laminin",4,222.66300825489,55.6657520637226,0.758169903008021,0.552450577218184,""
"Fibronectin",4,344.361001023599,86.0902502558998,1.17255285820505,0.320800150090068,""
"Galectin3",4,521.266274053811,130.316568513453,1.77491718780841,0.130994027061205,""
"Osteopontin",4,266.308487657427,66.5771219143567,0.906783222951491,0.458944891342688,""
"Decorin",2,8.17740624240107,4.08870312120054,0.0556883098476888,0.945834787242605,""
"Abb_ECMs",28,5145.39691194656,183.764175426663,2.50287585983015,2.10364757509129e-05,"***"
"Metadata_Stiffness:Metadata_Treatment",2,323.410330579676,161.705165289838,2.20243120659445,0.110696796672447,""
"Metadata_Stiffness:CollagenI",4,460.272806366134,115.068201591534,1.5672337838909,0.180220943306362,""
"Metadata_Stiffness:CollagenIV",4,520.839392159581,130.209848039895,1.77346365043424,0.131290849149051,""
"Metadata_Stiffness:Hyaluronic_Acid",4,172.692512338597,43.1731280846492,0.588019834799343,0.671326850004642,""
"Metadata_Stiffness:TenascinC",4,763.342726532437,190.835681633109,2.59919007415218,0.0344395547446474,"*"
"Metadata_Stiffness:Laminin",4,1066.91909611379,266.729774028449,3.63287083003935,0.00584882402037645,"**"
"Metadata_Stiffness:Fibronectin",4,237.88954460476,59.4723861511901,0.810016420658199,0.518581747274288,""
"Metadata_Stiffness:Galectin3",4,396.127607319524,99.031901829881,1.3488187012925,0.249341831502334,""
