"","npar","Sum Sq","Mean Sq","F value","p_value","psig"
"Metadata_Stiffness",1,1.34981626418154,1.34981626418154,16.5852641539577,0.0267193393202814,"*"
"Metadata_Treatment",1,1.1081246371846,1.1081246371846,13.6155862919307,0.0345182129517901,"*"
"CollagenI",4,0.88718426614737,0.221796066536843,2.72522005359952,0.0279476669468268,"*"
"CollagenIV",4,1.18142827089432,0.295357067723579,3.62906798348899,0.00591846331579482,"**"
"Hyaluronic_Acid",4,1.01033264089148,0.252583160222869,3.10350270944306,0.0146999529205483,"*"
"TenascinC",4,0.290692742949868,0.072673185737467,0.892939294294517,0.467234029424856,""
"Laminin",4,1.91199825282895,0.477999563207238,5.8732060293224,0.00010611326281984,"***"
"Fibronectin",4,1.61665002314714,0.404162505786785,4.96596618182234,0.000550074944887124,"***"
"Galectin3",4,0.452478558934255,0.113119639733564,1.38990702347128,0.234907849105624,""
"Osteopontin",4,1.2613075918736,0.3153268979684,3.87443834870746,0.00384903361722511,"**"
"Decorin",2,0.0329874702580648,0.0164937351290324,0.20265939984527,0.816570873852312,""
"Abb_ECMs",28,3.51708308573204,0.125610110204716,1.54337809777107,0.0343801854799871,"*"
"Metadata_Stiffness:Metadata_Treatment",1,0.145110356569828,0.145110356569828,1.78297866091048,0.181915951883861,""
"Metadata_Stiffness:CollagenI",4,0.324242915204869,0.0810607288012173,0.995997481550353,0.408409885735054,""
"Metadata_Stiffness:CollagenIV",4,0.984813412806934,0.246203353201734,3.02511368161417,0.0168092854261402,"*"
"Metadata_Stiffness:Hyaluronic_Acid",4,0.787272305503163,0.196818076375791,2.41831416140597,0.0466157000056789,"*"
"Metadata_Stiffness:TenascinC",4,0.24759945208186,0.0618998630204649,0.760566905682312,0.550891416499676,""
"Metadata_Stiffness:Laminin",4,0.215119297758724,0.0537798244396811,0.660795560221241,0.619257976102713,""
"Metadata_Stiffness:Fibronectin",4,1.35125401212177,0.337813503030443,4.15073245982179,0.00236276916124023,"**"
"Metadata_Stiffness:Galectin3",4,0.357966292464132,0.0894915731160331,1.09958771357863,0.355050167446702,""
"Metadata_Stiffness:Osteopontin",4,2.5147960142367,0.628699003559175,7.7248580596126,3.51246122276549e-06,"***"
"Metadata_Stiffness:Decorin",2,0.20468386539604,0.10234193269802,1.25748076450422,0.284564693920476,""
"Metadata_Stiffness:Abb_ECMs",28,9.66825305100353,0.345294751821555,4.24265496119815,9.26814180957081e-13,"***"
"Metadata_Treatment:Abb_ECMs",44,2.62474012543574,0.059653184668994,0.7329618494114,0.903834608256131,""
"Metadata_Treatment:CollagenI",2,0.0112802995389838,0.00564014976949191,0.069300819879828,0.933047904752415,""
"Metadata_Treatment:CollagenIV",2,0.044493842100454,0.022246921050227,0.273349100926698,0.760851816970006,""
"Metadata_Treatment:Hyaluronic_Acid",3,0.180896918728769,0.0602989729095898,0.740896683834435,0.527608418971766,""
"Metadata_Treatment:TenascinC",2,0.097510861876081,0.0487554309380405,0.599060570319734,0.549413026267514,""
"Metadata_Treatment:Laminin",2,0.40364867458984,0.20182433729492,2.47982635530277,0.0839813983229877,""
"Metadata_Treatment:Fibronectin",2,0.027943417981833,0.0139717089909165,0.171671130690578,0.842266896976313,""
"Metadata_Treatment:Galectin3",2,0.0402274434742596,0.0201137217371298,0.247138367629444,0.781053327333798,""
"Metadata_Treatment:Osteopontin",2,0.233531830331975,0.116765915165988,1.43470900343668,0.238397469390922,""
"Metadata_Treatment:Decorin",1,0.0449882052505355,0.0449882052505355,0.552772468144041,0.457262912517584,""
"CollagenI:Abb_ECMs",13,2.37362143502149,0.182586264232422,2.24344712946189,0.0064381897419451,"**"
"CollagenIV:Abb_ECMs",12,2.24859803813943,0.187383169844953,2.30238696358343,0.00649074277306172,"**"
"Hyaluronic_Acid:Abb_ECMs",10,3.95800862889794,0.395800862889794,4.86322623129156,5.68369253883816e-07,"***"
"TenascinC:Abb_ECMs",8,1.33588213888106,0.166985267360133,2.05175685200855,0.0372896076451648,"*"
"Laminin:Abb_ECMs",6,0.598211538075277,0.0997019230125463,1.22504282523465,0.290123146789198,""
"Fibronectin:Abb_ECMs",4,0.996174571307481,0.24904364282687,3.06001247114328,0.0158361141794792,"*"
"Galectin3:Abb_ECMs",1,0.542423112069724,0.542423112069724,6.66478159702948,0.00989494705140692,"**"
"Metadata_Stiffness:Metadata_Treatment:Abb_ECMs",44,2.51756303498191,0.0572173417041344,0.703032517485434,0.930304285382787,""
"Metadata_Stiffness:Metadata_Treatment:CollagenI",2,0.0278563733477148,0.0139281866738574,0.171136369668525,0.842717361864917,""
"Metadata_Stiffness:Metadata_Treatment:CollagenIV",2,0.0257910277608492,0.0128955138804246,0.158447864189541,0.853476761962584,""
"Metadata_Stiffness:Metadata_Treatment:Hyaluronic_Acid",3,0.0904312364634338,0.0301437454878113,0.370377802350871,0.774393612064686,""
"Metadata_Stiffness:Metadata_Treatment:TenascinC",2,0.0857838858096885,0.0428919429048442,0.527015581327772,0.590435418660137,""
"Metadata_Stiffness:Metadata_Treatment:Laminin",2,0.0832640192464452,0.0416320096232226,0.511534714156025,0.599642804184839,""
"Metadata_Stiffness:Metadata_Treatment:Fibronectin",2,0.042624302613267,0.0213121513066335,0.261863535422695,0.769638954284069,""
"Metadata_Stiffness:Metadata_Treatment:Galectin3",2,0.493029380154939,0.246514690077469,3.02893909434772,0.0485596489359437,"*"
"Metadata_Stiffness:Metadata_Treatment:Osteopontin",2,0.0157296534987396,0.00786482674936979,0.0966355441290397,0.90789051171905,""
"Metadata_Stiffness:Metadata_Treatment:Decorin",1,0.0344269264953302,0.0344269264953302,0.423005474956365,0.515506042726771,""
"Metadata_Stiffness:CollagenI:Abb_ECMs",13,2.88767039639917,0.222128492030705,2.72930458330443,0.000762842827038757,"***"
"Metadata_Stiffness:CollagenIV:Abb_ECMs",12,2.23288139908538,0.186073449923782,2.28629436532637,0.00691862383438901,"**"
"Metadata_Stiffness:Hyaluronic_Acid:Abb_ECMs",10,1.85528559571507,0.185528559571507,2.27959926861786,0.0118154768275547,"*"
"Metadata_Stiffness:TenascinC:Abb_ECMs",8,0.515926105802292,0.0644907632252864,0.792401434153906,0.609344179981886,""
"Metadata_Stiffness:Laminin:Abb_ECMs",6,1.85666269585583,0.309443782642638,3.80215219812894,0.000895756958577798,"***"
