"","npar","Sum Sq","Mean Sq","F value","p_value","psig","Terms"
"Metadata_Stiffness",1,0.387985615387561,0.387985615387561,3.82693057184026,0.189588920328431,"","Metadata_Stiffness"
"CollagenI",4,0.516624208448854,0.129156052112214,1.27394218951312,0.278307135491572,"","CollagenI"
"CollagenIV",4,0.862523514739117,0.215630878684779,2.12689432067541,0.075399298660482,"","CollagenIV"
"Hyaluronic_Acid",4,0.30837521230684,0.07709380307671,0.760421572843581,0.551106790479965,"","Hyaluronic_Acid"
"TenascinC",4,0.102956445769961,0.0257391114424902,0.253880011435153,0.907365954960203,"","TenascinC"
"Laminin",4,2.79152063166363,0.697880157915907,6.88360291177619,1.78783687305728e-05,"***","Laminin"
"Fibronectin",4,0.991226084664967,0.247806521166242,2.4442616275997,0.0449765897259985,"*","Fibronectin"
"Galectin3",4,0.374600797205917,0.0936501993014793,0.923727057271862,0.44927047291359,"","Galectin3"
"Osteopontin",4,0.378938264336337,0.0947345660840841,0.934422805327607,0.443082108491171,"","Osteopontin"
"Decorin",2,0.0765763396259734,0.0382881698129867,0.377658763072348,0.685551004541208,"","Decorin"
"Abb_ECMs",28,2.90685728358155,0.103816331556484,1.02400160555682,0.431024365628617,"","Abb_ECMs"
"Metadata_Stiffness:CollagenI",4,0.24584020532368,0.0614600513309199,0.606216674167734,0.658220514308685,"","Metadata_Stiffness:CollagenI"
"Metadata_Stiffness:CollagenIV",4,0.621827289280127,0.155456822320032,1.53336217205732,0.190202578940371,"","Metadata_Stiffness:CollagenIV"
"Metadata_Stiffness:Hyaluronic_Acid",4,0.5641259549749,0.141031488743725,1.39107661330789,0.234890095577238,"","Metadata_Stiffness:Hyaluronic_Acid"
"Metadata_Stiffness:TenascinC",4,0.170729279514316,0.0426823198785791,0.421000852460047,0.793578676612449,"","Metadata_Stiffness:TenascinC"
"Metadata_Stiffness:Laminin",4,0.0463179200684043,0.0115794800171011,0.114215229446566,0.977534010836395,"","Metadata_Stiffness:Laminin"
"Metadata_Stiffness:Fibronectin",4,0.953596863136023,0.238399215784006,2.35147183556075,0.0523761184608964,"","Metadata_Stiffness:Fibronectin"
"Metadata_Stiffness:Galectin3",4,0.628909763483213,0.157227440870803,1.55082682536991,0.185275676837704,"","Metadata_Stiffness:Galectin3"
"Metadata_Stiffness:Osteopontin",4,1.43215905422295,0.358039763555737,3.53155700300181,0.00713425865350326,"**","Metadata_Stiffness:Osteopontin"
"Metadata_Stiffness:Decorin",2,0.181807041533473,0.0909035207667365,0.896634949629869,0.408230636509111,"","Metadata_Stiffness:Decorin"
"Metadata_Stiffness:Abb_ECMs",28,6.40125899570374,0.228616392703705,2.25497809135966,0.000215574580496924,"***","Metadata_Stiffness:Abb_ECMs"
"CollagenI:Abb_ECMs",13,1.91833593454447,0.147564302657267,1.45551360348059,0.127636664484945,"","CollagenI:Abb_ECMs"
"CollagenIV:Abb_ECMs",12,2.26294281692552,0.188578568077126,1.86006145265805,0.0353333786964539,"*","CollagenIV:Abb_ECMs"
"Hyaluronic_Acid:Abb_ECMs",10,3.68466271343541,0.368466271343541,3.63439978847678,8.7670252683747e-05,"***","Hyaluronic_Acid:Abb_ECMs"
"TenascinC:Abb_ECMs",8,1.01469461567939,0.126836826959924,1.25106630626829,0.265668610627635,"","TenascinC:Abb_ECMs"
"Laminin:Abb_ECMs",6,0.845673050596952,0.140945508432825,1.39022853887598,0.215219805084747,"","Laminin:Abb_ECMs"
"Fibronectin:Abb_ECMs",4,0.262577127677594,0.0656442819193984,0.647488204151345,0.628724006040589,"","Fibronectin:Abb_ECMs"
"Galectin3:Abb_ECMs",1,0.0204374617399813,0.0204374617399813,0.20158671878962,0.653529372646344,"","Galectin3:Abb_ECMs"
"Metadata_Stiffness:CollagenI:Abb_ECMs",13,2.53786252237011,0.19522019402847,1.92557172002849,0.0239425939443536,"*","Metadata_Stiffness:CollagenI:Abb_ECMs"
"Metadata_Stiffness:CollagenIV:Abb_ECMs",12,1.59451338577215,0.132876115481012,1.31063536490576,0.205944301427326,"","Metadata_Stiffness:CollagenIV:Abb_ECMs"
"Metadata_Stiffness:Hyaluronic_Acid:Abb_ECMs",10,2.02398926987295,0.202398926987295,1.99637979006418,0.0306128878327729,"*","Metadata_Stiffness:Hyaluronic_Acid:Abb_ECMs"
"Metadata_Stiffness:TenascinC:Abb_ECMs",8,0.513824828045364,0.0642281035056705,0.633519602605996,0.750043185230096,"","Metadata_Stiffness:TenascinC:Abb_ECMs"
"Metadata_Stiffness:Laminin:Abb_ECMs",6,1.51669660949634,0.25278276824939,2.49334528261229,0.0211455957707033,"*","Metadata_Stiffness:Laminin:Abb_ECMs"
"Metadata_Stiffness:Fibronectin:Abb_ECMs",4,0.193329972070124,0.048332493017531,0.476731836971023,0.752857970360806,"","Metadata_Stiffness:Fibronectin:Abb_ECMs"
"Metadata_Stiffness:Galectin3:Abb_ECMs",1,0.0143735034940979,0.0143735034940979,0.141774328130876,0.70659423552077,"","Metadata_Stiffness:Galectin3:Abb_ECMs"
