"","npar","Sum Sq","Mean Sq","F value","p_value","psig"
"Metadata_Stiffness",1,3.02128792481343,3.02128792481343,3.02128792481343,0.0823857364550381,""
"CollagenI",4,1645.69530289883,411.423825724707,411.423825724707,0,"***"
"CollagenIV",4,23104.5298193297,5776.13245483242,5776.13245483242,0,"***"
"Hyaluronic_Acid",4,121.292091609579,30.3230229023948,30.3230229023948,0,"***"
"TenascinC",4,233.688603143473,58.4221507858683,58.4221507858683,0,"***"
"Laminin",4,133.133873738498,33.2834684346244,33.2834684346244,0,"***"
"Fibronectin",4,185.331199465091,46.3327998662729,46.3327998662729,0,"***"
"Galectin3",4,344.6413593389,86.1603398347251,86.1603398347251,0,"***"
"Osteopontin",4,178.065823534348,44.516455883587,44.516455883587,0,"***"
"Decorin",2,10.061996526414,5.03099826320701,5.03099826320701,0.00664422196154946,"**"
"Abb_ECM",28,4014.0726417004,143.359737203586,143.359737203586,0,"***"
"Metadata_Stiffness:CollagenI",4,279.091507782462,69.7728769456156,69.7728769456156,0,"***"
"Metadata_Stiffness:CollagenIV",4,752.624590655012,188.156147663753,188.156147663753,0,"***"
"Metadata_Stiffness:Hyaluronic_Acid",4,45.6271972149413,11.4067993037353,11.4067993037353,4.03427580231153e-09,"***"
"Metadata_Stiffness:TenascinC",4,75.4081092849883,18.8520273212471,18.8520273212471,3.99680288865056e-15,"***"
"Metadata_Stiffness:Laminin",4,105.024225433613,26.2560563584032,26.2560563584032,0,"***"
"Metadata_Stiffness:Fibronectin",4,145.070043636992,36.2675109092481,36.2675109092481,0,"***"
"Metadata_Stiffness:Galectin3",4,27.8198719436469,6.95496798591172,6.95496798591172,1.51671950894272e-05,"***"
"Metadata_Stiffness:Osteopontin",4,90.936412451197,22.7341031127993,22.7341031127993,0,"***"
"Metadata_Stiffness:Decorin",2,22.7158700234042,11.3579350117021,11.3579350117021,1.27264816252026e-05,"***"
"Metadata_Stiffness:Abb_ECM",28,507.818762413325,18.1363843719045,18.1363843719045,0,"***"
"CollagenI:Abb_ECM",13,301.13582800729,23.1642944620992,23.1642944620992,0,"***"
"CollagenIV:Abb_ECM",12,289.341741660379,24.1118118050315,24.1118118050315,0,"***"
"Hyaluronic_Acid:Abb_ECM",10,199.212926348,19.9212926348,19.9212926348,0,"***"
"TenascinC:Abb_ECM",8,137.334332639649,17.1667915799561,17.1667915799561,0,"***"
"Laminin:Abb_ECM",6,22.391681202502,3.73194686708367,3.73194686708367,0.00108888390869666,"**"
"Fibronectin:Abb_ECM",4,12.7229319183091,3.18073297957729,3.18073297957729,0.0129656503578921,"*"
"Galectin3:Abb_ECM",1,5.64552549854165,5.64552549854165,5.64552549854165,0.0176263666362912,"*"
"Metadata_Stiffness:CollagenI:Abb_ECM",13,66.1073719443545,5.08518245725804,5.08518245725804,6.83119105726604e-09,"***"
"Metadata_Stiffness:CollagenIV:Abb_ECM",12,162.221395313141,13.5184496094284,13.5184496094284,0,"***"
"Metadata_Stiffness:Hyaluronic_Acid:Abb_ECM",10,73.0393259940725,7.30393259940725,7.30393259940725,2.28510543820448e-11,"***"
"Metadata_Stiffness:TenascinC:Abb_ECM",8,80.4385480639834,10.0548185079979,10.0548185079979,9.83657599817889e-14,"***"
"Metadata_Stiffness:Laminin:Abb_ECM",6,62.1694947407879,10.361582456798,10.361582456798,2.84055001742445e-11,"***"
"Metadata_Stiffness:Fibronectin:Abb_ECM",4,6.17116974141234,1.54279243535308,1.54279243535308,0.187335831530486,""
"Metadata_Stiffness:Galectin3:Abb_ECM",1,0.0473820051800836,0.0473820051800836,0.0473820051800836,0.827713005428726,""
