"","Metadata_Slide","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Time","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Object_Count","SD_Object_Count","Metadata_Block","CollagenI","CollagenIV","Laminin","Hyaluronic_Acid","TenascinC","Osteopontin","Galectin3","Fibronectin","Decorin"
"1","01","1 kPa","BAe2","02","Day 0","02","25/75","Collagen ILaminin","C1LN",38.3333333333333,16.7729941672122,"3",0.25,0,0.75,0,0,0,0,0,0
"2","01","1 kPa","BAe2","02","Day 0","03","50/50","Collagen IHyaluronic Acid","C1HA",39,9.16515138991168,"3",0.5,0,0,0,0,0.5,0,0,0
"3","01","1 kPa","BAe2","02","Day 0","04","50/50","Hyaluronic AcidFibronectin","HAFN",18,25.1197133741609,"3",0,0,0,0.5,0,0,0,0.5,0
"4","01","1 kPa","BAe2","02","Day 0","05","75/25","Collagen IVDecorin","C4DN",47.6666666666667,6.02771377334171,"3",0,0.75,0,0,0,0,0,0,0.25
"5","01","1 kPa","BAe2","02","Day 0","06","25/75","Collagen IVFibronectin","C4FN",37,13.228756555323,"3",0,0.25,0,0,0,0,0.75,0,0
"6","01","1 kPa","BAe2","02","Day 0","07","75/25","Hyaluronic AcidFibronectin","HAFN",24,32.5269119345812,"3",0,0,0,0.75,0,0,0,0.25,0
"7","01","1 kPa","BAe2","02","Day 0","08","75/25","Hyaluronic AcidOsteopontin","HAOPN",24,32.5269119345812,"3",0,0,0,0.75,0,0.25,0,0,0
"8","01","1 kPa","BAe2","02","Day 0","09","75/25","LamininHyaluronic Acid","LNHA",25,31.1126983722081,"3",0,0,0.75,0.25,0,0,0,0,0
"9","01","1 kPa","BAe2","02","Day 0","10","25/75","Tenascin COsteopontin","TCOPN",24.5,31.8198051533946,"3",0,0,0,0,0.25,0.75,0,0,0
"10","01","1 kPa","BAe2","02","Day 0","11","75/25","LamininFibronectin","LNFN",26.5,28.9913780286484,"3",0,0,0.75,0,0,0,0,0.25,0
"11","01","1 kPa","BAe2","02","Day 0","12","75/25","LamininTenascin C","LNTC",20.3333333333333,23.1156512634477,"3",0,0,0.75,0,0.25,0,0,0,0
"12","01","1 kPa","BAe2","03","Day 0","02","75/25","Collagen ITenascin C","C1TC",49,17.0880074906351,"3",0.75,0,0,0,0.25,0,0,0,0
"13","01","1 kPa","BAe2","03","Day 0","03","50/50","OsteopontinFibronectin","OPNFN",20.3333333333333,23.1156512634477,"3",0,0,0,0,0,0.5,0,0.5,0
"14","01","1 kPa","BAe2","03","Day 0","04","25/75","Collagen ITenascin C","C1TC",28,16.4620776331543,"3",0.25,0,0,0,0.75,0,0,0,0
"15","01","1 kPa","BAe2","03","Day 0","05","25/75","LamininTenascin C","LNTC",29.5,24.7487373415292,"3",0,0,0.25,0,0.75,0,0,0,0
"16","01","1 kPa","BAe2","03","Day 0","06","100","Collagen IV","C4",35,13.7477270848675,"3",0,1,0,0,0,0,0,0,0
"17","01","1 kPa","BAe2","03","Day 0","07","25/75","Tenascin CDecorin","TCDN",25,31.1126983722081,"3",0,0,0,0,0.25,0,0,0,0.75
"18","01","1 kPa","BAe2","03","Day 0","08","75/25","Tenascin CHyaluronic Acid","TCHA",47,NA,"3",0,0,0,0.25,0.75,0,0,0,0
"19","01","1 kPa","BAe2","03","Day 0","09","75/25","Collagen IVTenascin C","C4TC",27.6666666666667,20.0333056017556,"3",0,0.75,0,0,0.25,0,0,0,0
"20","01","1 kPa","BAe2","03","Day 0","11","50/50","Collagen IVLaminin","C4LN",49.6666666666667,39.0683162336609,"3",0,0.5,0.5,0,0,0,0,0,0
"21","01","1 kPa","BAe2","03","Day 0","12","25/75","Collagen ICollagen IV","C1C4",27,18.6815416922694,"3",0.25,0.75,0,0,0,0,0,0,0
"22","01","1 kPa","BAe2","04","Day 0","02","25/75","LamininFibronectin","LNFN",25.5,28.9913780286484,"3",0,0,0.25,0,0,0,0,0.75,0
"23","01","1 kPa","BAe2","04","Day 0","03","25/75","Tenascin CFibronectin","TCFN",18.3333333333333,23.9652526240249,"3",0,0,0,0,0.25,0,0,0.75,0
"24","01","1 kPa","BAe2","04","Day 0","04","50/50","Hyaluronic AcidOsteopontin","HAOPN",18.6666666666667,23.6713610367747,"3",0,0,0,0.5,0,0.5,0,0,0
"25","01","1 kPa","BAe2","04","Day 0","05","75/25","Tenascin COsteopontin","TCOPN",22,20.8806130178211,"3",0,0,0,0,0.75,0.25,0,0,0
"26","01","1 kPa","BAe2","04","Day 0","06","50/50","Collagen IVFibronectin","C4FN",30.3333333333333,14.2945210949277,"3",0,0.5,0,0,0,0,0.5,0,0
"27","01","1 kPa","BAe2","04","Day 0","07","100","Hyaluronic Acid","HA",19.3333333333333,23.1804515342849,"3",0,0,0,1,0,0,0,0,0
"28","01","1 kPa","BAe2","04","Day 0","08","50/50","Collagen IVHyaluronic Acid","C4HA",25.3333333333333,18.3393929379719,"3",0,0.5,0,0.5,0,0,0,0,0
"29","01","1 kPa","BAe2","04","Day 0","09","25/75","Collagen IVHyaluronic Acid","C4HA",22.6666666666667,20.4287379280594,"3",0,0.25,0,0.75,0,0,0,0,0
"30","01","1 kPa","BAe2","04","Day 0","10","25/75","OsteopontinFibronectin","OPNFN",46,NA,"3",0,0,0,0,0,0.25,0,0.75,0
"31","01","1 kPa","BAe2","04","Day 0","11","25/75","Hyaluronic AcidFibronectin","HAFN",46,NA,"3",0,0,0,0.25,0,0,0,0.75,0
"32","01","1 kPa","BAe2","04","Day 0","12","75/25","LamininOsteopontin","LNOPN",17,25.1594912508182,"3",0,0,0.75,0,0,0.25,0,0,0
"33","01","1 kPa","BAe2","05","Day 0","02","75/25","Collagen IVOsteopontin","C4OPN",63.3333333333333,21.221058723196,"3",0,0.75,0,0,0,0.25,0,0,0
"34","01","1 kPa","BAe2","05","Day 0","03","50/50","Collagen IVOsteopontin","C4OPN",45,8.54400374531753,"3",0,0.5,0,0,0,0.5,0,0,0
"35","01","1 kPa","BAe2","05","Day 0","04","50/50","Hyaluronic AcidDecorin","HADN",22.6666666666667,20.4287379280594,"3",0,0,0,0.5,0,0,0,0,0.5
"36","01","1 kPa","BAe2","05","Day 0","05","50/50","Collagen IDecorin","C1DN",29.6666666666667,14.3643076176102,"3",0.5,0,0,0,0,0,0,0,0.5
"37","01","1 kPa","BAe2","05","Day 0","06","25/75","Collagen IFibronectin","C1FN",28.3333333333333,15.6950098226581,"3",0.25,0,0,0,0,0,0,0.75,0
"38","01","1 kPa","BAe2","05","Day 0","07","25/75","Collagen IVOsteopontin","C4OPN",30,14.1774468787578,"3",0,0.25,0,0,0,0.75,0,0,0
"39","01","1 kPa","BAe2","05","Day 0","08","25/75","Tenascin CHyaluronic Acid","TCHA",24.5,30.4055915910215,"3",0,0,0,0.75,0.25,0,0,0,0
"40","01","1 kPa","BAe2","05","Day 0","09","75/25","Collagen ILaminin","C1LN",47.3333333333333,10.0664459136943,"3",0.75,0,0.25,0,0,0,0,0,0
"41","01","1 kPa","BAe2","05","Day 0","10","75/25","Collagen IVHyaluronic Acid","C4HA",33.6666666666667,11.5902257671425,"3",0,0.75,0,0.25,0,0,0,0,0
"42","01","1 kPa","BAe2","05","Day 0","11","25/75","DecorinFibronectin","DNFN",23,19.9749843554382,"3",0,0,0,0,0,0,0,0.75,0.25
"43","01","1 kPa","BAe2","05","Day 0","12","25/75","Collagen IHyaluronic Acid","C1HA",33,11.7898261225516,"3",0.25,0,0,0.75,0,0,0,0,0
"44","01","1 kPa","BAe2","06","Day 0","02","50/50","LamininHyaluronic Acid","LNHA",20,22.6053091109146,"3",0,0,0.5,0.5,0,0,0,0,0
"45","01","1 kPa","BAe2","06","Day 0","03","75/25","Collagen IOsteopontin","C1OPN",79.6666666666667,52.3672925912094,"3",0.75,0,0,0,0,0.25,0,0,0
"46","01","1 kPa","BAe2","06","Day 0","04","75/25","Collagen IDecorin","C1DN",66.6666666666667,33.2315111503123,"3",0.75,0,0,0,0,0,0,0,0.25
"47","01","1 kPa","BAe2","06","Day 0","05","100","Osteopontin","OPN",24.5,30.4055915910215,"3",0,0,0,0,0,1,0,0,0
"48","01","1 kPa","BAe2","06","Day 0","06","100","Collagen I","C1",71,31.224989991992,"3",1,0,0,0,0,0,0,0,0
"49","01","1 kPa","BAe2","06","Day 0","07","50/50","Collagen ILaminin","C1LN",42.6666666666667,9.45163125250522,"3",0.5,0,0.5,0,0,0,0,0,0
"50","01","1 kPa","BAe2","06","Day 0","08","100","Tenascin C","TC",46,NA,"3",0,0,0,0,1,0,0,0,0
"51","01","1 kPa","BAe2","06","Day 0","09","50/50","Collagen ICollagen IV","C1C4",46.6666666666667,13.0128141972954,"3",0.5,0.5,0,0,0,0,0,0,0
"52","01","1 kPa","BAe2","06","Day 0","10","25/75","Collagen IVLaminin","C4LN",35.3333333333333,9.23760430703401,"3",0,0.25,0.75,0,0,0,0,0,0
"53","01","1 kPa","BAe2","06","Day 0","11","75/25","Collagen ICollagen IV","C1C4",33.6666666666667,10.6926766215636,"3",0.75,0.25,0,0,0,0,0,0,0
"54","01","1 kPa","BAe2","06","Day 0","12","50/50","Tenascin CFibronectin","TCFN",25,20.0748598998847,"3",0,0,0,0,0.5,0,0,0.5,0
"55","01","1 kPa","BAe2","07","Day 0","02","25/75","Collagen IDecorin","C1DN",35.3333333333333,19.3476958145753,"3",0.25,0,0,0,0,0,0,0,0.75
"56","01","1 kPa","BAe2","07","Day 0","03","75/25","Tenascin CDecorin","TCDN",21,21.9317121994613,"3",0,0,0,0,0.75,0,0,0,0.25
"57","01","1 kPa","BAe2","07","Day 0","04","25/75","Collagen IVTenascin C","C4TC",47.3333333333333,14.047538337137,"3",0,0.25,0,0,0.75,0,0,0,0
"58","01","1 kPa","BAe2","07","Day 0","05","75/25","OsteopontinFibronectin","OPNFN",46,NA,"3",0,0,0,0,0,0.75,0,0.25,0
"59","01","1 kPa","BAe2","07","Day 0","06","50/50","Collagen IVDecorin","C4DN",31.6666666666667,14.5028732785381,"3",0,0.5,0,0,0,0,0,0,0.5
"60","01","1 kPa","BAe2","07","Day 0","07","100","Decorin","DN",46,NA,"3",0,0,0,0,0,0,0,0,1
"61","01","1 kPa","BAe2","07","Day 0","08","75/25","Collagen IVFibronectin","C4FN",34.3333333333333,10.1159939369957,"3",0,0.75,0,0,0,0,0.25,0,0
"62","01","1 kPa","BAe2","07","Day 0","09","50/50","OsteopontinDecorin","OPNDN",27.6666666666667,23.629078131263,"3",0,0,0,0,0,0.5,0,0,0.5
"63","01","1 kPa","BAe2","07","Day 0","10","25/75","Hyaluronic AcidDecorin","HADN",46,NA,"3",0,0,0,0.25,0,0,0,0,0.75
